Time ns, Temperature
1583581229836178281, 1275
1583581230836173231, 1270
1583581231836171376, 1262
1583581232836218254, 1275
1583581233836160433, 1273
1583581234837162300, 1282
1583581235837151122, 1267
1583581236837157664, 1282
1583581237837173576, 1273
1583581238837158997, 1279
1583581239837207848, 1296
1583581240837189483, 1455
1583581241837090859, 1616
1583581242837195109, 1773
1583581243837159146, 1873
1583581244834183100, 1939
1583581245837184302, 2017
1583581246837178860, 2077
1583581247837117050, 2149
1583581248837167286, 2194
1583581249837194718, 2267
1583581250837173562, 2282
1583581251837156029, 2313
1583581252837166099, 2319
1583581253837134765, 2352
1583581254837164496, 2359
1583581255837156988, 2373
1583581256837141034, 2386
1583581257837173258, 2405
1583581258837146253, 2387
1583581259837142801, 2435
1583581260837138719, 2448
1583581261837136185, 2443
1583581262837134907, 2439
1583581263837138465, 2489
1583581264837077378, 2450
1583581265837083331, 2458
1583581266837121801, 2471
1583581267837087013, 2480
1583581268837070857, 2490
1583581269837084678, 2451
1583581270837111578, 2480
1583581271837110832, 2497
1583581272837056136, 2483
1583581273837019795, 2480
1583581274837098930, 2476
1583581275837047134, 2480
1583581276834090984, 2474
1583581277837079860, 2480
1583581278837079580, 2477
1583581279837134163, 2503
1583581280836977084, 2487
1583581281836991677, 2480
1583581282836972599, 2481
1583581283836994831, 2487
1583581284836966353, 2485
1583581285836987924, 2482
1583581286837053304, 2480
1583581287837044154, 2475
1583581288837039101, 2475
1583581289837023939, 2487
1583581290837033668, 2477
1583581291837048693, 2459
1583581292838030594, 2477
1583581293837992297, 2483
1583581294838024355, 2475
1583581295838014975, 2486
1583581296838006589, 2467
1583581297838009521, 2477
1583581298838002702, 2461
1583581299837983071, 2503
1583581300837998309, 2474
1583581301837959002, 2494
1583581302837993586, 2482
1583581303837914324, 2480
1583581304837983082, 2461
1583581305837983049, 2491
1583581306837930977, 2487
1583581307837929056, 2461
1583581308833924791, 2480
1583581309837886770, 2458
1583581310837916753, 2480
1583581311837936021, 2509
1583581312837947245, 2485
1583581313837941621, 2474
1583581314837940988, 2480
1583581315837845579, 2480
1583581316837885151, 2466
1583581317837901839, 2480
1583581318837924047, 2463
1583581319837843372, 2466
1583581320837914711, 2474
1583581321837906109, 2463
1583581322837855998, 2469
1583581323837817981, 2479
1583581324837845942, 2463
1583581325837837267, 2482
