Time ns, Temperature
1583331342193977883, 77.5
1583331378851615337, 77.2
1583331387835649279, 77.0
1583331432547693136, 76.0
1583331518196660446, 75.3
1583331524211472263, 75.2
1583331594628663595, 74.4
1583331794838134192, 72.2
1583332143648464048, 68.4
1583332340985698718, 66.7
1583332446538950664, 65.8
1583332537667868132, 65.0
1583332675500701225, 63.8
1583332913726660170, 61.9
1583333015103580342, 61.0
1583333150175695804, 60.0
1583333343281017886, 58.7
1583333505562875505, 57.6
1583333663036270258, 56.6
1583333774781712491, 55.9
1583333955694979303, 54.7
1583334091768547469, 53.9
1583334096512675297, 53.8
1583334288274187049, 52.6
1583334497196063826, 51.5
1583334761646790248, 50.1
1583335087641052139, 48.6
1583335422116088976, 47.0
1583335758478818277, 45.6
1583336055729394138, 44.4
1583336231105690236, 43.8
1583336405764123543, 43.2
1583336796567090790, 42.0
1583337059425278420, 41.2
1583337064625534976, 41.1
1583337316019879837, 40.4
1583337459068566695, 40.0
1583338033553078997, 38.4
1583338251875135520, 37.8
1583338531413155078, 37.1
1583338694574891602, 36.7
1583338968289149633, 36.0
1583339262171508527, 35.4
1583339476796965327, 35.0
1583339659773936310, 34.6
1583339823752449509, 34.3
1583340181868425479, 33.7
1583340423990840309, 33.2
1583340559608089935, 33.1
1583340674921004839, 32.9
1583340962059890373, 32.5
1583341113892560018, 32.2
1583341251554288646, 32.0
1583341628347779089, 31.5
1583341827645230622, 31.2
1583342065510540616, 30.9
1583342077215368415, 30.8
1583342732499967516, 30.0
1583343385382855964, 29.2
1583343743658450472, 28.8
1583343949557298922, 28.6
1583344309928058983, 28.3
1583344611881935421, 28.0
1583344915694999355, 27.8
1583345004386394681, 27.7
1583345617670646639, 27.3
1583345881265181626, 27.1
1583346027698716809, 27.0
1583346270572819646, 26.8
1583346875452432838, 26.5
1583347197247433738, 26.3
1583347512723150312, 26.1
1583347738532318443, 26.0
1583348282690453976, 25.7
1583348802664462469, 25.5
1583349035612016781, 25.4
1583349733146414008, 25.1
1583349847729600632, 25.0
1583350359029528728, 24.8
1583350714936836016, 24.7
1583351871040897154, 24.4
1583352134884693130, 24.3
1583352796792603299, 24.1
1583353207277498923, 24.0
1583353829306112392, 23.8
1583355424983847034, 23.4
1583356413945249796, 23.1
1583356980862876106, 23.0
1583357220345358426, 22.9
